温馨提示-歌曲一般切EXO硬解,#group#

请看使用说明,#genre#

播放请看右下角速度显示，没速度情况换解码或节目源即可解决,https://vd4.bdstatic.com/mda-nkg71nvnuzanh072/sc/cae_h264/1668667802847572861/mda-nkg71nvnuzanh072.mp4

央视·卫视·其它,#group#


超高清1,#genre#

五星体育,http://43.251.226.110:5124/live/a9fc6080659aa5463f2f60e92e0328e8?token=8520
重温经典 5.1环绕声,http://t.061899.xyz/tl/dq.php?id=cwjd
重温经典 5.1环绕声,http://api.kkhk.itv888.vip:8080/streams/214856d804c/index.m3u8
重温经典 5.1环绕声,http://120.238.5.44:1698/hls/80/index.m3u8
重温经典 5.1环绕声,http://[240e:97d:2000:1109::25]/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典 5.1环绕声,http://120.238.5.44:1698/hls/80/index.m3u8
北京重温经典,http://api.kkhk.itv888.vip:8080/streams/50f74c763e0/index.m3u8
CCTV16 4K,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
北京卫视4K,http://106.53.99.30/tv/bj.php?id=bjws4k#https://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s110/index.m3u8?time=1770699019&sign=7de59bd0a34a3c97cfe1b51d2b12f346
浙江卫视4K,https://ali-xwl.cztv.com/live/channel4k2160p.m3u8
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
深圳卫视4K,http://nn.7x9d.cn/深圳最新.php?id=szws4k
四川峨眉电影4K,http://api.kkhk.itv888.vip:8080/streams/0558bdb0324/index.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
南国都市4K超高清,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4

超高清2,#genre#

北京卫视4k,http://106.53.99.30/tv/bj.php?id=bjws4k
东方卫视4k,http://106.53.99.30/tv/api.php?id=dfws4k
浙江卫视4k,https://play-qukan.cztv.com/live/1758879019692345.m3u8
浙江卫视4k,http://play-qukan.cztv.com/live/1758879019692345.m3u8
江苏卫视4k,http://124.116.170.138:8081/rtp/239.111.205.64:5140
湖南卫视4k,http://106.53.99.30/tv/api.php?id=hnws4k
广东卫视4k,http://124.116.170.138:8081/rtp/239.111.205.103:5140
山东卫视4k,http://124.116.170.138:8081/rtp/239.111.205.66:5140
四川卫视4k,http://124.116.170.138:8081/rtp/239.111.205.62:5140
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u87
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u87
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u87
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u87
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u87
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u87
河北4K,http://106.53.99.30/tv/api.php?id=hebtv4k
苏州4K,http://106.53.99.30/tv/api.php?id=sztv4k
深圳卫视4K,https://cdn3.163189.xyz/163189/szws4k
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u87
湖南卫视4K,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
