上快手，看春晚,#group#

MP4格式,#genre#

1983年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjAxMDRfMTgxNTA2MDY0N18xODY5NDQ3NzI3MTVfMF8z_b_B056a9f5a6a16f7506584b791af14444d.mp4
1984年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjA4NDFfMTgxNTA2MDY0N18xODY5NDU1OTE4MDVfMF8z_b_B720f4eb403f4cfae1540db7450df48c9.mp4
1985年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjE2MTJfMTgxNTA2MDY0N18xODY5NDYzNjY1NzNfMF8z_b_B34ff9e2f220868dd3eb8456030e63145.mp4
1986年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjIzMDBfMTgxNTA2MDY0N18xODY5NDcwMzA3NzRfMF8z_b_Be1c41dfeb5840e08ec33cd6b349c669f.mp4
1987年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjI3MjhfMTgxNTA2MDY0N18xODY5NDc0OTcyMDJfMF8z_b_B016cb272b717861fdd24c45869b9fa4d.mp4
1988年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjM0MzhfMTgxNTA2MDY0N18xODY5NDgyMzA4MzJfMF8z_b_B7ada5af8de2e036d339899ba67dc9af6.mp4
1989年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjQxMTdfMTgxNTA2MDY0N18xODY5NDg5NjU1NTlfMF8z_b_Bc1610dfbf9bfe781e7120fa8f2b6acba.mp4
1990年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/16/BMjAyNjAyMDUxNjQ5MDdfMTgxNTA2MDY0N18xODY5NDk3Mzc2MjJfMF8z_b_B0a97e38d5801ea4039481532025ca1cc.mp4
1991年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/06/12/BMjAyNjAyMDYxMjE1MDhfMTgxNTA2MDY0N18xODcwMjg0MTQ1MTRfMF8z_b_Bae0b97b59f23335aef7994ce2c95c028.mp4
1992年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/17/BMjAyNjAyMDUxNzE5MzhfMTgxNTA2MDY0N18xODY5NTI5Mzg5MjlfMF8z_b_B46e63025223a32be93b8732ffb9dcef8.mp4
1993年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/17/BMjAyNjAyMDUxNzM4MTZfMTgxNTA2MDY0N18xODY5NTQ5MTkwMTVfMF8z_b_Bc73540e40ec548f47fed3efe7d168d4b.mp4
1994年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/18/BMjAyNjAyMDUxODE2NTZfMTgxNTA2MDY0N18xODY5NTkxMzQ0ODdfMF8z_b_Be82c9b2d24cfd5110113fedb5df347a0.mp4
1995年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/18/BMjAyNjAyMDUxODIyMDNfMTgxNTA2MDY0N18xODY5NTk2NTczMjNfMF8z_b_Bf6fccd188889ca467288d16c658d4fd0.mp4
1996年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/05/18/BMjAyNjAyMDUxODI2NDFfMTgxNTA2MDY0N18xODY5NjAxMzE3NDlfMF8z_b_B44ffbf99104000ef5ab72bd286a79a0d.mp4
1997年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/06/10/BMjAyNjAyMDYxMDU2NDRfMTgxNTA2MDY0N18xODcwMjEyODI0MzFfMF8z_b_B581f8ee25f60aa1374386e2cf3cd67d6.mp4
1998年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/06/10/BMjAyNjAyMDYxMDU5MzFfMTgxNTA2MDY0N18xODcwMjE0OTM3NDZfMF8z_b_Bb50e46685388d2b6a7bc3cc6b5900855.mp4
1999年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/06/11/BMjAyNjAyMDYxMTAzMjRfMTgxNTA2MDY0N18xODcwMjE4NjI5MjBfMF8z_b_B3e670a60776766f3fb527a3da5b8653d.mp4
2000年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/06/11/BMjAyNjAyMDYxMTA1NDhfMTgxNTA2MDY0N18xODcwMjIxMDA5NThfMF8z_b_B9f50984ea6e412f43a8b36b517cdd621.mp4
2001年中央广播电视总台春节联欢晚会,https://txmov2.a.kwimgs.com/upic/2026/02/06/11/BMjAyNjAyMDYxMTA4MjNfMTgxNTA2MDY0N18xODcwMjIzNDU1ODBfMF8z_b_Bf48d2800a7bf5dcfa8e39c51ae01c322.mp4
