歌曲轮播,#group#

2026新年歌曲,#genre# 

新年快乐2026,https://txmov2.a.kwimgs.com/bs3/video-hls/5206161356057862175_8d500cd2745b5d56_9685_hlsb.m3u8
2026马年大吉,https://txmov2.a.kwimgs.com/upic/2026/01/30/12/BMjAyNjAxMzAxMjMyNDZfMjY3MTkwOTMyXzE4NjM0MDgyOTQ4Nl8yXzM=_b_Bcc26e4b9254d57a330adf5d8b956cd4a.mp4
祝你2026天天有惊喜,https://txmov2.a.kwimgs.com/bs3/video-hls/5230368199416119506_70266d700140cbf3_4233_hlsb.m3u8
卓依婷20首新年歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5221642338859287217_hlsb.m3u8
粤语新年歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5232056985167952801_hlsb.m3u8
24首新年歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5227834897293379844_hlsb.m3u8
传统新年歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5252041712122798865_hlsb.m3u8
卓依婷32首新年歌曲,https://txmov2.a.kwimgs.com/bs3/video-hls/5251760238747407297_hlsb.m3u8
1小时过年喜庆歌曲合集,https://txmov2.a.kwimgs.com/bs3/video-hls/5235434751250733725_505a4e49a40e6e26_7443_hlsb.m3u8
春节背景音乐,https://txmov2.a.kwimgs.com/bs3/video-hls/5221079462273244137_hlsb.m3u8
农历新年纯音乐,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012038156161998_hlsb.m3u8

歌手演唱会,#genre# 

迈克杰克逊《危险之旅演唱会 完整版 珍藏版》,https://vd2.bdstatic.com/mda-nmu42idx0zwhihq8/576p/h264/1672282865450326183/mda-nmu42idx0zwhihq8.mp4
周华健《2015今天唱什么 巡回演唱会完整版》,https://vd2.bdstatic.com/mda-pa3cxmj5kz5viwwq/576p/h264/1672824310339702670/mda-pa3cxmj5kz5viwwq.mp4
周华健《2016 出道30年演唱会 完整版》,https://vd3.bdstatic.com/mda-pa3ecnd7aukyaf4a/576p/h264/1672827636953342632/mda-pa3ecnd7aukyaf4a.mp4
张信哲《2016年 还爱光年演唱会 完整版》经典之作！,https://vd2.bdstatic.com/mda-nmh7q2cm8dwjnum3/576p/h264/1671341864394610629/mda-nmh7q2cm8dwjnum3.mp4
张信哲《2018年歌时代II 演唱会 完整版》非常好看,https://vd3.bdstatic.com/mda-nmh90x7nebc5706t/576p/h264/1671345460202595301/mda-nmh90x7nebc5706t.mp4
刘若英《2016 Renext 台北我敢世界巡回演唱会 完整版》,https://vd4.bdstatic.com/mda-nmq4kv7nj8fisyyu/576p/h264/1671939594909809041/mda-nmq4kv7nj8fisyyu.mp4
