🌟央視頻道🌟,#genre#
CCTV1,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV1
CCTV2,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV2
CCTV3,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV3
CCTV4,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV4
CCTV5,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV5
CCTV5+,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV5p
CCTV6,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV6
CCTV7,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV7
CCTV8,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV8
CCTV9,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV9
CCTV10,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV10
CCTV11,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV11
CCTV12,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV12
CCTV13,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV13
CCTV14,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV14
CCTV15,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV15
CCTV16,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV16
CCTV17,http://223.111.150.99:2005/zhibo/ysws.php?id=CCTV17
🌟衞視頻道🌟,#genre#
浙江卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=浙江卫视
广东卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=广东卫视
江苏卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=江苏卫视
东方卫视,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
江西卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=江西卫视
湖北卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=湖北卫视
青海卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=青海卫视
河南卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=河南卫视
东南卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=东南卫
海南卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=湖南卫视
湖南卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=湖南卫视
北京卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=北京卫视
天津卫视,http://223.111.150.99:2005/zhibo/ysws.php?id=天津卫视
