風雲試看央衛頻道,#genre#
广东珠江,http://iptv.4666888.xyz/iptv2A.php?id=7
广东体育,http://iptv.4666888.xyz/iptv2A.php?id=8


風雲試看體育頻道,#genre#
TntSports1,http://iptv.4666888.xyz/iptv2A.php?id=2
SkysportsF1,http://iptv.4666888.xyz/iptv2A.php?id=4
SkySportsFootball,http://iptv.4666888.xyz/iptv2A.php?id=5
博斯高球1,http://iptv.4666888.xyz/iptv2A.php?id=10

風雲試看港澳頻道,#genre#
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=19
TVB黃金華劇,http://iptv.4666888.xyz/iptv2A.php?id=34
TVB翡翠(馬來),http://iptv.4666888.xyz/iptv2A.php?id=28
TVB明珠,http://iptv.4666888.xyz/iptv2A.php?id=29
TVB生活,http://iptv.4666888.xyz/iptv2A.php?id=11
TVBJ1,http://iptv.4666888.xyz/iptv2A.php?id=26
TVB1,http://iptv.4666888.xyz/iptv2A.php?id=25
千禧經典,http://iptv.4666888.xyz/iptv2A.php?id=22
HOY77,http://iptv.4666888.xyz/iptv2A.php?id=35
TVB-獎門人,http://iptv.4666888.xyz/iptv2A.php?id=31
TVB-金曲,http://iptv.4666888.xyz/iptv2A.php?id=17
RTHK31,http://iptv.4666888.xyz/iptv2A.php?id=23
TVB翡翠劇集,http://iptv.4666888.xyz/iptv2A.php?id=33
TVB-金曲,http://iptv.4666888.xyz/iptv2A.php?id=17
澳視澳門,http://iptv.4666888.xyz/iptv2A.php?id=41
中國電影,http://iptv.4666888.xyz/iptv2A.php?id=61
创世电视,http://iptv.4666888.xyz/iptv2A.php?id=20

風雲試看臺灣頻道,#genre#
TVBS新聞,http://iptv.4666888.xyz/iptv2A.php?id=43
民視,http://iptv.4666888.xyz/iptv2A.php?id=55
華藝中文,http://iptv.4666888.xyz/iptv2A.php?id=37
愛奇藝,http://iptv.4666888.xyz/iptv2A.php?id=21
靖洋戲劇,http://iptv.4666888.xyz/iptv2A.php?id=42
靖天電影,http://iptv.4666888.xyz/iptv2A.php?id=56
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
FGM_gold电影,http://iptv.4666888.xyz/iptv2A.php?id=54
龍華電影,http://iptv.4666888.xyz/iptv2A.php?id=45
龍華洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
風雲恐怖電影,http://iptv.4666888.xyz/iptv2A.php?id=59
ROCK_Action,http://iptv.4666888.xyz/iptv2A.php?id=50
梦工场动漫,http://iptv.4666888.xyz/iptv2A.php?id=40
Duck TV兒童卡通,http://iptv.4666888.xyz/iptv2A.php?id=39
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
金光布袋戲,http://iptv.4666888.xyz/iptv2A.php?id=38
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
民視影劇,http://iptv.4666888.xyz/iptv2A.php?id=53
TVBS精采,http://iptv.4666888.xyz/iptv2A.php?id=47
TVBS台剧,http://iptv.4666888.xyz/iptv2A.php?id=58
車迷TV,http://iptv.4666888.xyz/iptv2A.php?id=63
八度空間,http://iptv.4666888.xyz/iptv2A.php?id=52




