央视,#genre#
CCTV1,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000152$安徽联通专用
CCTV2,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000477$安徽联通专用
CCTV3,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000001$安徽联通专用
CCTV4,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000573$安徽联通专用
CCTV5,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000003$安徽联通专用
CCTV6,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000005$安徽联通专用
CCTV7,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000485$安徽联通专用
CCTV8,http://10.255.126.3:8006/AHBKLIVE/11111120220816000000000000000007$安徽联通专用
CCTV9,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000478$安徽联通专用
CCTV10,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000480$安徽联通专用
CCTV11,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000583$安徽联通专用
CCTV12,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000482$安徽联通专用
CCTV13,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000602$安徽联通专用
CCTV14,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000483$安徽联通专用
CCTV15,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000587$安徽联通专用
CCTV16,http://10.255.126.3:8006/AHBKLIVE/11111120211027000000000000000007$安徽联通专用
CCTV17,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000580$安徽联通专用
CCTV5+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000153$安徽联通专用

CCTV1,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8$IPV6
CCTV2,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8$IPV6
CCTV3,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8$IPV6
CCTV4,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8$IPV6
CCTV5,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8$IPV6
CCTV5+,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8$IPV6
CCTV5+,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$IPV6
CCTV6,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8$IPV6
CCTV7,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8$IPV6
CCTV8,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8$IPV6
CCTV9,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8$IPV6
CCTV10,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8$IPV6
CCTV11,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8$IPV6
CCTV12,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8$IPV6
CCTV13,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8$IPV6
CCTV14,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8$IPV6
CCTV15,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8$IPV6
CCTV16,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8$IPV6
CCTV17,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8$IPV6
CCTV16 4K,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8$IPV6
CCTV4K,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8$IPV6
CCTV8K,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3$IPV6

CCTV1,https://tvphp1.rbq.plus/jd1.php?id=cctv1$JDY
CCTV2,https://tvphp1.rbq.plus/jd1.php?id=cctv2$JDY
CCTV3,https://tvphp1.rbq.plus/jd1.php?id=cctv3$JDY
CCTV4,https://tvphp1.rbq.plus/jd1.php?id=cctv4$JDY
CCTV5,https://tvphp1.rbq.plus/jd1.php?id=cctv5$JDY
CCTV6,https://tvphp1.rbq.plus/jd1.php?id=cctv6$JDY
CCTV7,https://tvphp1.rbq.plus/jd1.php?id=cctv7$JDY
CCTV8,https://tvphp1.rbq.plus/jd1.php?id=cctv8$JDY
CCTV9,https://tvphp1.rbq.plus/jd1.php?id=cctv9$JDY
CCTV10,https://tvphp1.rbq.plus/jd1.php?id=cctv10$JDY
CCTV11,https://tvphp1.rbq.plus/jd1.php?id=cctv11$JDY
CCTV12,https://tvphp1.rbq.plus/jd1.php?id=cctv12$JDY
CCTV13,https://tvphp1.rbq.plus/jd1.php?id=cctv13$JDY
CCTV14,https://tvphp1.rbq.plus/jd1.php?id=cctv14$JDY
CCTV15,https://tvphp1.rbq.plus/jd1.php?id=cctv15$JDY

