央视频道[1],#genre#

流媒体技术实验,https://gh-proxy.com/https://raw.githubusercontent.com/RJZC-LRJ/RJ/refs/heads/main/XingXing_V2.6.7/data/m3u8/index.m3u8

CCTV-1综合,http://go.bkpcp.top/mg/cctv1 
CCTV-2财经,http://go.bkpcp.top/mg/cctv2 
CCTV-3综艺,http://go.bkpcp.top/mg/cctv3 
CCTV-4中文国际,http://go.bkpcp.top/mg/cctv4 
CCTV-5体育,http://go.bkpcp.top/mg/cctv5
CCTV-5+体育赛事,http://go.bkpcp.top/mg/cctv5p 
CCTV-6电影,http://go.bkpcp.top/mg/cctv6
CCTV-7国防军事,http://go.bkpcp.top/mg/cctv7 
CCTV-8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV-9记录,http://go.bkpcp.top/mg/cctv9
CCTV-10科教,http://go.bkpcp.top/mg/cctv10 
CCTV-11戏曲,http://go.bkpcp.top/mg/cctv11
CCTV-12社会与法,http://go.bkpcp.top/mg/cctv12 
CCTV-13新闻,http://go.bkpcp.top/mg/cctv13 
CCTV-14少儿,http://go.bkpcp.top/mg/cctv14
CCTV-15音乐,http://go.bkpcp.top/mg/cctv15
CCTV-16奥林匹配,http://go.bkpcp.top/mg/cctv16
CCTV-17农村农业,http://go.bkpcp.top/mg/cctv17 
cctV-4中文国际-欧洲,http://go.bkpcp.top/mg/cctv4o
cctV-4中文国际-美洲,http://go.bkpcp.top/mg/cctv4m
CGTN-中国国际-西班呀,http://go.bkpcp.top/mg/cgtne 
CGTN-中国国际-阿拉伯,http://go.bkpcp.top/mg/cgtna 
CGTN-中国国际-法语,http://go.bkpcp.top/mg/cgtnf 



卫视频道[1],#genre#

北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws 
江苏卫视,http://go.bkpcp.top/mg/jsws 
湖南卫视,http://go.bkpcp.top/mg/hunws 
广东卫视,http://go.bkpcp.top/mg/gdws 
深圳卫视4k,http://go.bkpcp.top/mg/szws 
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws 
湖北卫视,http://go.bkpcp.top/mg/hubws 
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws 
兵团卫视,http://go.bkpcp.top/mg/btws 
黑龙江视,http://go.bkpcp.top/mg/hljws



央视频道[2],#genre#

